Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.8052630000000001,0.9649479999999999,0.298119,0.8779030000000001,5,6,2809068885,2528555636.000000,0.000000,570,.,.,353.000000,199.000000,,1.7738693467336684,459,.,.,283.000000,163.000000,,1.7361963190184049,111,.,.,70.000000,36.000000,,1.9444444444444444,691,.,.,429.000000,256.000000,,1.67578125,468,.,.,300.000000,165.000000,,1.8181818181818181,17,.,.,11.000000,5.000000,,2.2,206,.,.,118.000000,86.000000,,1.372093023255814
INDEL,*,*,PASS,*,QUAL,*,0.8052630000000001,0.9649479999999999,0.298119,0.8779030000000001,5,6,2809068885,2528555636.000000,0.000000,570,.,.,353.000000,199.000000,,1.7738693467336684,459,.,.,283.000000,163.000000,,1.7361963190184049,111,.,.,70.000000,36.000000,,1.9444444444444444,691,.,.,429.000000,256.000000,,1.67578125,468,.,.,300.000000,165.000000,,1.8181818181818181,17,.,.,11.000000,5.000000,,2.2,206,.,.,118.000000,86.000000,,1.372093023255814
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.6,,0,2,3030848912.000000,2528555636.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,5,.,.,2.000000,3.000000,,0.6666666666666666,0,.,.,0.000000,0.000000,,,2,.,.,2.000000,0.000000,,,3,.,.,0.000000,3.000000,,0.0
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.6,,0,2,3030848912.000000,2528555636.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,5,.,.,2.000000,3.000000,,0.6666666666666666,0,.,.,0.000000,0.000000,,,2,.,.,2.000000,0.000000,,,3,.,.,0.000000,3.000000,,0.0
INDEL,*,TS_contained,ALL,*,QUAL,*,0.8052630000000001,0.968944,0.0,0.879553,5,4,2528555636.000000,2528555636.000000,0.000000,570,.,.,353.000000,199.000000,,1.7738693467336684,459,.,.,283.000000,163.000000,,1.7361963190184049,111,.,.,70.000000,36.000000,,1.9444444444444444,483,.,.,309.000000,170.000000,,1.8176470588235294,468,.,.,300.000000,165.000000,,1.8181818181818181,15,.,.,9.000000,5.000000,,1.8,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.8052630000000001,0.968944,0.0,0.879553,5,4,2528555636.000000,2528555636.000000,0.000000,570,.,.,353.000000,199.000000,,1.7738693467336684,459,.,.,283.000000,163.000000,,1.7361963190184049,111,.,.,70.000000,36.000000,,1.9444444444444444,483,.,.,309.000000,170.000000,,1.8176470588235294,468,.,.,300.000000,165.000000,,1.8181818181818181,15,.,.,9.000000,5.000000,,1.8,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2809068885,2528555636.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2809068885,2528555636.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3030848912.000000,2528555636.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3030848912.000000,2528555636.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
