Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.27124299999999996,0.805723,0.300203,0.405856,471,284,2809068885,2528686007.000000,0.000000,14205,.,.,8116.000000,5421.000000,,1.49714074893931,3853,.,.,1927.000000,1868.000000,,1.0315845824411134,10352,.,.,6189.000000,3553.000000,,1.7419082465522093,6892,.,.,3573.000000,3213.000000,,1.112044817927171,3886,.,.,1996.000000,1870.000000,,1.067379679144385,937,.,.,469.000000,433.000000,,1.0831408775981524,2069,.,.,1108.000000,910.000000,,1.2175824175824175
INDEL,*,*,PASS,*,QUAL,*,0.27124299999999996,0.805723,0.300203,0.405856,471,284,2809068885,2528686007.000000,0.000000,14205,.,.,8116.000000,5421.000000,,1.49714074893931,3853,.,.,1927.000000,1868.000000,,1.0315845824411134,10352,.,.,6189.000000,3553.000000,,1.7419082465522093,6892,.,.,3573.000000,3213.000000,,1.112044817927171,3886,.,.,1996.000000,1870.000000,,1.067379679144385,937,.,.,469.000000,433.000000,,1.0831408775981524,2069,.,.,1108.000000,910.000000,,1.2175824175824175
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.413793,0.8,0.810127,0.545455,0,3,3030848912.000000,2528686007.000000,0.000000,29,.,.,9.000000,20.000000,,0.45,12,.,.,2.000000,10.000000,,0.2,17,.,.,7.000000,10.000000,,0.7,79,.,.,34.000000,44.000000,,0.7727272727272727,12,.,.,2.000000,10.000000,,0.2,3,.,.,2.000000,0.000000,,,64,.,.,30.000000,34.000000,,0.8823529411764706
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.413793,0.8,0.810127,0.545455,0,3,3030848912.000000,2528686007.000000,0.000000,29,.,.,9.000000,20.000000,,0.45,12,.,.,2.000000,10.000000,,0.2,17,.,.,7.000000,10.000000,,0.7,79,.,.,34.000000,44.000000,,0.7727272727272727,12,.,.,2.000000,10.000000,,0.2,3,.,.,2.000000,0.000000,,,64,.,.,30.000000,34.000000,,0.8823529411764706
INDEL,*,TS_contained,ALL,*,QUAL,*,0.270951,0.80574,0.0,0.405531,471,281,2528686007.000000,2528686007.000000,0.000000,14176,.,.,8107.000000,5401.000000,,1.5010183299389002,3841,.,.,1925.000000,1858.000000,,1.036060279870829,10335,.,.,6182.000000,3543.000000,,1.7448489980242732,4808,.,.,2461.000000,2293.000000,,1.0732664631487134,3874,.,.,1994.000000,1860.000000,,1.0720430107526882,934,.,.,467.000000,433.000000,,1.0785219399538106,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.270951,0.80574,0.0,0.405531,471,281,2528686007.000000,2528686007.000000,0.000000,14176,.,.,8107.000000,5401.000000,,1.5010183299389002,3841,.,.,1925.000000,1858.000000,,1.036060279870829,10335,.,.,6182.000000,3543.000000,,1.7448489980242732,4808,.,.,2461.000000,2293.000000,,1.0732664631487134,3874,.,.,1994.000000,1860.000000,,1.0720430107526882,934,.,.,467.000000,433.000000,,1.0785219399538106,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2809068885,2528686007.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2809068885,2528686007.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3030848912.000000,2528686007.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3030848912.000000,2528686007.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2528686007.000000,2528686007.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2528686007.000000,2528686007.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2809068885,2528686007.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2809068885,2528686007.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3030848912.000000,2528686007.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3030848912.000000,2528686007.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2528686007.000000,2528686007.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2528686007.000000,2528686007.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2809068885,2528686007.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2809068885,2528686007.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3030848912.000000,2528686007.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3030848912.000000,2528686007.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2528686007.000000,2528686007.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2528686007.000000,2528686007.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,D16_PLUS,*,ALL,*,QUAL,*,0.29591799999999996,0.8656719999999999,0.583851,0.441065,6,2,2809068885,2528686007.000000,0.000000,196,.,.,121.000000,65.000000,,1.8615384615384616,58,.,.,37.000000,21.000000,,1.7619047619047619,138,.,.,84.000000,44.000000,,1.9090909090909092,161,.,.,94.000000,67.000000,,1.4029850746268657,58,.,.,37.000000,21.000000,,1.7619047619047619,9,.,.,3.000000,6.000000,,0.5,94,.,.,54.000000,40.000000,,1.35
INDEL,D16_PLUS,*,PASS,*,QUAL,*,0.29591799999999996,0.8656719999999999,0.583851,0.441065,6,2,2809068885,2528686007.000000,0.000000,196,.,.,121.000000,65.000000,,1.8615384615384616,58,.,.,37.000000,21.000000,,1.7619047619047619,138,.,.,84.000000,44.000000,,1.9090909090909092,161,.,.,94.000000,67.000000,,1.4029850746268657,58,.,.,37.000000,21.000000,,1.7619047619047619,9,.,.,3.000000,6.000000,,0.5,94,.,.,54.000000,40.000000,,1.35
INDEL,D16_PLUS,TS_boundary,ALL,*,QUAL,*,0.0,,1.0,,0,0,3030848912.000000,2528686007.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,0.000000,1.000000,,0.0,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,0.000000,1.000000,,0.0
INDEL,D16_PLUS,TS_boundary,PASS,*,QUAL,*,0.0,,1.0,,0,0,3030848912.000000,2528686007.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,0.000000,1.000000,,0.0,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,0.000000,1.000000,,0.0
INDEL,D16_PLUS,TS_contained,ALL,*,QUAL,*,0.29591799999999996,0.8656719999999999,0.0,0.441065,6,2,2528686007.000000,2528686007.000000,0.000000,196,.,.,121.000000,65.000000,,1.8615384615384616,58,.,.,37.000000,21.000000,,1.7619047619047619,138,.,.,84.000000,44.000000,,1.9090909090909092,67,.,.,40.000000,27.000000,,1.4814814814814814,58,.,.,37.000000,21.000000,,1.7619047619047619,9,.,.,3.000000,6.000000,,0.5,0,.,.,0.000000,0.000000,,
INDEL,D16_PLUS,TS_contained,PASS,*,QUAL,*,0.29591799999999996,0.8656719999999999,0.0,0.441065,6,2,2528686007.000000,2528686007.000000,0.000000,196,.,.,121.000000,65.000000,,1.8615384615384616,58,.,.,37.000000,21.000000,,1.7619047619047619,138,.,.,84.000000,44.000000,,1.9090909090909092,67,.,.,40.000000,27.000000,,1.4814814814814814,58,.,.,37.000000,21.000000,,1.7619047619047619,9,.,.,3.000000,6.000000,,0.5,0,.,.,0.000000,0.000000,,
INDEL,D1_5,*,ALL,*,QUAL,*,0.254473,0.785343,0.278895,0.384392,229,118,2809068885,2528686007.000000,0.000000,6484,.,.,3776.000000,2340.000000,,1.6136752136752137,1650,.,.,828.000000,795.000000,,1.0415094339622641,4834,.,.,2948.000000,1545.000000,,1.9080906148867314,2933,.,.,1587.000000,1346.000000,,1.1790490341753344,1661,.,.,866.000000,795.000000,,1.089308176100629,454,.,.,245.000000,209.000000,,1.1722488038277512,818,.,.,476.000000,342.000000,,1.391812865497076
INDEL,D1_5,*,PASS,*,QUAL,*,0.254473,0.785343,0.278895,0.384392,229,118,2809068885,2528686007.000000,0.000000,6484,.,.,3776.000000,2340.000000,,1.6136752136752137,1650,.,.,828.000000,795.000000,,1.0415094339622641,4834,.,.,2948.000000,1545.000000,,1.9080906148867314,2933,.,.,1587.000000,1346.000000,,1.1790490341753344,1661,.,.,866.000000,795.000000,,1.089308176100629,454,.,.,245.000000,209.000000,,1.1722488038277512,818,.,.,476.000000,342.000000,,1.391812865497076
INDEL,D1_5,TS_boundary,ALL,*,QUAL,*,0.375,0.857143,0.78125,0.5217390000000001,0,1,3030848912.000000,2528686007.000000,0.000000,16,.,.,5.000000,11.000000,,0.45454545454545453,6,.,.,1.000000,5.000000,,0.2,10,.,.,4.000000,6.000000,,0.6666666666666666,32,.,.,14.000000,18.000000,,0.7777777777777778,6,.,.,1.000000,5.000000,,0.2,1,.,.,1.000000,0.000000,,,25,.,.,12.000000,13.000000,,0.9230769230769231
INDEL,D1_5,TS_boundary,PASS,*,QUAL,*,0.375,0.857143,0.78125,0.5217390000000001,0,1,3030848912.000000,2528686007.000000,0.000000,16,.,.,5.000000,11.000000,,0.45454545454545453,6,.,.,1.000000,5.000000,,0.2,10,.,.,4.000000,6.000000,,0.6666666666666666,32,.,.,14.000000,18.000000,,0.7777777777777778,6,.,.,1.000000,5.000000,,0.2,1,.,.,1.000000,0.000000,,,25,.,.,12.000000,13.000000,,0.9230769230769231
INDEL,D1_5,TS_contained,ALL,*,QUAL,*,0.25417399999999996,0.785104,0.0,0.384023,229,117,2528686007.000000,2528686007.000000,0.000000,6468,.,.,3771.000000,2329.000000,,1.6191498497209103,1644,.,.,827.000000,790.000000,,1.0468354430379747,4824,.,.,2944.000000,1539.000000,,1.912930474333983,2108,.,.,1109.000000,999.000000,,1.11011011011011,1655,.,.,865.000000,790.000000,,1.0949367088607596,453,.,.,244.000000,209.000000,,1.167464114832536,0,.,.,0.000000,0.000000,,
INDEL,D1_5,TS_contained,PASS,*,QUAL,*,0.25417399999999996,0.785104,0.0,0.384023,229,117,2528686007.000000,2528686007.000000,0.000000,6468,.,.,3771.000000,2329.000000,,1.6191498497209103,1644,.,.,827.000000,790.000000,,1.0468354430379747,4824,.,.,2944.000000,1539.000000,,1.912930474333983,2108,.,.,1109.000000,999.000000,,1.11011011011011,1655,.,.,865.000000,790.000000,,1.0949367088607596,453,.,.,244.000000,209.000000,,1.167464114832536,0,.,.,0.000000,0.000000,,
INDEL,D6_15,*,ALL,*,QUAL,*,0.31149699999999997,0.8223,0.366446,0.451834,18,30,2809068885,2528686007.000000,0.000000,748,.,.,400.000000,220.000000,,1.8181818181818181,233,.,.,142.000000,80.000000,,1.775,515,.,.,258.000000,140.000000,,1.8428571428571427,453,.,.,294.000000,159.000000,,1.849056603773585,236,.,.,155.000000,81.000000,,1.9135802469135803,51,.,.,35.000000,16.000000,,2.1875,166,.,.,104.000000,62.000000,,1.6774193548387097
INDEL,D6_15,*,PASS,*,QUAL,*,0.31149699999999997,0.8223,0.366446,0.451834,18,30,2809068885,2528686007.000000,0.000000,748,.,.,400.000000,220.000000,,1.8181818181818181,233,.,.,142.000000,80.000000,,1.775,515,.,.,258.000000,140.000000,,1.8428571428571427,453,.,.,294.000000,159.000000,,1.849056603773585,236,.,.,155.000000,81.000000,,1.9135802469135803,51,.,.,35.000000,16.000000,,2.1875,166,.,.,104.000000,62.000000,,1.6774193548387097
INDEL,D6_15,TS_boundary,ALL,*,QUAL,*,0.0,,1.0,,0,0,3030848912.000000,2528686007.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,5,.,.,2.000000,3.000000,,0.6666666666666666,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,5,.,.,2.000000,3.000000,,0.6666666666666666
INDEL,D6_15,TS_boundary,PASS,*,QUAL,*,0.0,,1.0,,0,0,3030848912.000000,2528686007.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,5,.,.,2.000000,3.000000,,0.6666666666666666,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,5,.,.,2.000000,3.000000,,0.6666666666666666
INDEL,D6_15,TS_contained,ALL,*,QUAL,*,0.31149699999999997,0.8223,0.0,0.451834,18,30,2528686007.000000,2528686007.000000,0.000000,748,.,.,400.000000,220.000000,,1.8181818181818181,233,.,.,142.000000,80.000000,,1.775,515,.,.,258.000000,140.000000,,1.8428571428571427,287,.,.,190.000000,97.000000,,1.958762886597938,236,.,.,155.000000,81.000000,,1.9135802469135803,51,.,.,35.000000,16.000000,,2.1875,0,.,.,0.000000,0.000000,,
