Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.281943,0.751905,0.300715,0.41010699999999994,594,376,2809068885,2528686007.000000,0.000000,14205,.,.,8116.000000,5421.000000,,1.49714074893931,4005,.,.,1983.000000,1953.000000,,1.0153609831029187,10200,.,.,6133.000000,3468.000000,,1.7684544405997693,7695,.,.,4033.000000,3523.000000,,1.1447629860913995,4046,.,.,2066.000000,1955.000000,,1.056777493606138,1335,.,.,683.000000,598.000000,,1.1421404682274248,2314,.,.,1284.000000,970.000000,,1.3237113402061855
INDEL,*,*,PASS,*,QUAL,*,0.281943,0.751905,0.300715,0.41010699999999994,594,376,2809068885,2528686007.000000,0.000000,14205,.,.,8116.000000,5421.000000,,1.49714074893931,4005,.,.,1983.000000,1953.000000,,1.0153609831029187,10200,.,.,6133.000000,3468.000000,,1.7684544405997693,7695,.,.,4033.000000,3523.000000,,1.1447629860913995,4046,.,.,2066.000000,1955.000000,,1.056777493606138,1335,.,.,683.000000,598.000000,,1.1421404682274248,2314,.,.,1284.000000,970.000000,,1.3237113402061855
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.3,0.642857,0.825,0.409091,0,4,3030848912.000000,2528686007.000000,0.000000,30,.,.,9.000000,21.000000,,0.42857142857142855,9,.,.,1.000000,8.000000,,0.125,21,.,.,8.000000,13.000000,,0.6153846153846154,80,.,.,35.000000,43.000000,,0.813953488372093,9,.,.,1.000000,8.000000,,0.125,5,.,.,2.000000,1.000000,,2.0,66,.,.,32.000000,34.000000,,0.9411764705882353
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.3,0.642857,0.825,0.409091,0,4,3030848912.000000,2528686007.000000,0.000000,30,.,.,9.000000,21.000000,,0.42857142857142855,9,.,.,1.000000,8.000000,,0.125,21,.,.,8.000000,13.000000,,0.6153846153846154,80,.,.,35.000000,43.000000,,0.813953488372093,9,.,.,1.000000,8.000000,,0.125,5,.,.,2.000000,1.000000,,2.0,66,.,.,32.000000,34.000000,,0.9411764705882353
INDEL,*,TS_contained,ALL,*,QUAL,*,0.281905,0.752189,0.0,0.410109,594,372,2528686007.000000,2528686007.000000,0.000000,14175,.,.,8107.000000,5400.000000,,1.5012962962962964,3996,.,.,1982.000000,1945.000000,,1.0190231362467865,10179,.,.,6125.000000,3455.000000,,1.772793053545586,5367,.,.,2746.000000,2544.000000,,1.0794025157232705,4037,.,.,2065.000000,1947.000000,,1.0606060606060606,1330,.,.,681.000000,597.000000,,1.1407035175879396,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.281905,0.752189,0.0,0.410109,594,372,2528686007.000000,2528686007.000000,0.000000,14175,.,.,8107.000000,5400.000000,,1.5012962962962964,3996,.,.,1982.000000,1945.000000,,1.0190231362467865,10179,.,.,6125.000000,3455.000000,,1.772793053545586,5367,.,.,2746.000000,2544.000000,,1.0794025157232705,4037,.,.,2065.000000,1947.000000,,1.0606060606060606,1330,.,.,681.000000,597.000000,,1.1407035175879396,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2809068885,2528686007.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2809068885,2528686007.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3030848912.000000,2528686007.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3030848912.000000,2528686007.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
